feature_x,feature_y,feature_x_group,feature_y_group,value
A440 Centroid,E330 ot5 dB,Centroid,Overtone,0.00311584456978907
A440 Centroid,E330 ot6 dB,Centroid,Overtone,0.0037736285317336
A440 Centroid,E330 ot7 dB,Centroid,Overtone,0.004445715235735901
A440 Centroid,A440 ot1 dB,Centroid,Overtone,0.002081276623678861
A440 Centroid,A440 ot2 dB,Centroid,Overtone,0.003836237155428983
A440 Centroid,A440 ot3 dB,Centroid,Overtone,0.004510626499958823
A440 Centroid,A440 ot4 dB,Centroid,Overtone,0.004560902324655553
A440 Centroid,A440 ot5 dB,Centroid,Overtone,0.005264278720097175
A440 Centroid,A440 ot6 dB,Centroid,Overtone,0.005707190671998154
A440 Centroid,A440 ot7 dB,Centroid,Overtone,0.00498349242661908
E165 Centroid,facing_c0,Centroid,Physical Measurements,-1.392516936209969e-5
E165 Centroid,facing_c2,Centroid,Physical Measurements,2.814720879144251e-7
E165 Centroid,facing_c3,Centroid,Physical Measurements,-1.163824053366661e-8
E165 Centroid,facing_c4,Centroid,Physical Measurements,-4.535733241914885e-10
E165 Centroid,Tip Opening,Centroid,Physical Measurements,-6.857985992442066e-5
E165 Centroid,Facing Length,Centroid,Physical Measurements,-7.715785431945489e-4
E165 Centroid,baffle_height_1,Centroid,Physical Measurements,-5.635566281569029e-5
E165 Centroid,baffle_height_3,Centroid,Physical Measurements,-1.34649721280309e-4
E165 Centroid,baffle_height_5,Centroid,Physical Measurements,-2.195629696062885e-4
E165 Centroid,baffle_height_8,Centroid,Physical Measurements,-3.366329956019155e-4
E165 Centroid,baffle_height_13,Centroid,Physical Measurements,-4.960567257023602e-4
E165 Centroid,baffle_height_20,Centroid,Physical Measurements,-6.235566581673625e-4
E165 Centroid,baffle_height_30,Centroid,Physical Measurements,-5.938120869405624e-4
E165 Centroid,baffle_height_40,Centroid,Physical Measurements,-5.300615688071972e-4
E165 Centroid,baffle_height_50,Centroid,Physical Measurements,-5.2265978007268e-4
E165 Centroid,baffle_height_60,Centroid,Physical Measurements,3.444166450675062e-5
E165 Centroid,baffle_height_70,Centroid,Physical Measurements,-2.24470180195132e-5
E165 Centroid,bore_table_angle,Centroid,Physical Measurements,-2.476089702403836e-4
E165 Centroid,baffle 3-1,Centroid,Physical Measurements,-7.829405846461858e-5
E165 Centroid,baffle 8-3,Centroid,Physical Measurements,-8.49132483259787e-5
E165 Centroid,baffle 13-8,Centroid,Physical Measurements,-1.170700259956276e-4
A220 Centroid,facing_c0,Centroid,Physical Measurements,1.290901194829032e-5
A220 Centroid,facing_c2,Centroid,Physical Measurements,3.40134955517048e-7
A220 Centroid,facing_c3,Centroid,Physical Measurements,-1.894274045303932e-8
A220 Centroid,facing_c4,Centroid,Physical Measurements,-6.295299469295993e-10
A220 Centroid,Tip Opening,Centroid,Physical Measurements,9.019784566820154e-5
A220 Centroid,Facing Length,Centroid,Physical Measurements,-7.127970298736534e-4
A220 Centroid,baffle_height_1,Centroid,Physical Measurements,8.996459433658904e-5
A220 Centroid,baffle_height_3,Centroid,Physical Measurements,3.617921831896532e-5
A220 Centroid,baffle_height_5,Centroid,Physical Measurements,-4.610145953370792e-5
A220 Centroid,baffle_height_8,Centroid,Physical Measurements,-1.930298599901299e-4
A220 Centroid,baffle_height_13,Centroid,Physical Measurements,-4.686620819324382e-4
A220 Centroid,baffle_height_20,Centroid,Physical Measurements,-7.483062408457133e-4
A220 Centroid,baffle_height_30,Centroid,Physical Measurements,-7.832666143692068e-4
A220 Centroid,baffle_height_40,Centroid,Physical Measurements,-7.243130464779014e-4
A220 Centroid,baffle_height_50,Centroid,Physical Measurements,-6.538039029960804e-4
A220 Centroid,baffle_height_60,Centroid,Physical Measurements,-1.163544076376469e-4
A220 Centroid,baffle_height_70,Centroid,Physical Measurements,-2.598933568874677e-5
