feature_x,feature_y,feature_x_group,feature_y_group,value
E330 Centroid,A220 ot3 dB,Centroid,Overtone,0.6898151594261657
E330 Centroid,A220 ot4 dB,Centroid,Overtone,0.4793491343091567
E330 Centroid,A220 ot5 dB,Centroid,Overtone,0.4560899125955704
E330 Centroid,A220 ot6 dB,Centroid,Overtone,0.4768391173369269
E330 Centroid,A220 ot7 dB,Centroid,Overtone,0.5134174743583427
E330 Centroid,E330 ot1 dB,Centroid,Overtone,0.257200768976214
E330 Centroid,E330 ot2 dB,Centroid,Overtone,0.6262960248878473
E330 Centroid,E330 ot3 dB,Centroid,Overtone,0.6882916143161928
E330 Centroid,E330 ot4 dB,Centroid,Overtone,0.554356166360414
E330 Centroid,E330 ot5 dB,Centroid,Overtone,0.6282365608548472
E330 Centroid,E330 ot6 dB,Centroid,Overtone,0.64766396750772115
E330 Centroid,E330 ot7 dB,Centroid,Overtone,0.6626771402407745
E330 Centroid,A440 ot1 dB,Centroid,Overtone,0.5279975449098864
E330 Centroid,A440 ot2 dB,Centroid,Overtone,0.2028905056959422
E330 Centroid,A440 ot3 dB,Centroid,Overtone,0.3823549894027669
E330 Centroid,A440 ot4 dB,Centroid,Overtone,0.4672470427885512
E330 Centroid,A440 ot5 dB,Centroid,Overtone,0.4737501538512667
E330 Centroid,A440 ot6 dB,Centroid,Overtone,0.5660397387238614
E330 Centroid,A440 ot7 dB,Centroid,Overtone,0.6765623108702805
A440 Centroid,E165 ot1 dB,Centroid,Overtone,0.6244390325344076
A440 Centroid,E165 ot2 dB,Centroid,Overtone,0.3970363836211752
A440 Centroid,E165 ot3 dB,Centroid,Overtone,0.4288514595791235
A440 Centroid,E165 ot4 dB,Centroid,Overtone,0.779832466848986
A440 Centroid,E165 ot5 dB,Centroid,Overtone,0.677210547347241
A440 Centroid,E165 ot6 dB,Centroid,Overtone,0.5880212951320613
A440 Centroid,E165 ot7 dB,Centroid,Overtone,0.6899628659788499
A440 Centroid,A220 ot1 dB,Centroid,Overtone,0.625238654836126
A440 Centroid,A220 ot2 dB,Centroid,Overtone,0.7382948156080749
A440 Centroid,A220 ot3 dB,Centroid,Overtone,0.5986669614679547
A440 Centroid,A220 ot4 dB,Centroid,Overtone,0.4191951572517854
A440 Centroid,A220 ot5 dB,Centroid,Overtone,0.4095369837558538
A440 Centroid,A220 ot6 dB,Centroid,Overtone,0.4342334877492875
A440 Centroid,A220 ot7 dB,Centroid,Overtone,0.5073699096442956
A440 Centroid,E330 ot1 dB,Centroid,Overtone,0.1767351297254672
A440 Centroid,E330 ot2 dB,Centroid,Overtone,0.6398136729102449
A440 Centroid,E330 ot3 dB,Centroid,Overtone,0.6669128343139736
A440 Centroid,E330 ot4 dB,Centroid,Overtone,0.537049765545455
A440 Centroid,E330 ot5 dB,Centroid,Overtone,0.6246487604411683
A440 Centroid,E330 ot6 dB,Centroid,Overtone,0.6281156391457728
A440 Centroid,E330 ot7 dB,Centroid,Overtone,0.6285637682368251
A440 Centroid,A440 ot1 dB,Centroid,Overtone,0.4126471013816887
A440 Centroid,A440 ot2 dB,Centroid,Overtone,0.1601484757548112
A440 Centroid,A440 ot3 dB,Centroid,Overtone,0.332230160504561
A440 Centroid,A440 ot4 dB,Centroid,Overtone,0.4264169993113752
A440 Centroid,A440 ot5 dB,Centroid,Overtone,0.4238010874132279
A440 Centroid,A440 ot6 dB,Centroid,Overtone,0.4922611695008662
A440 Centroid,A440 ot7 dB,Centroid,Overtone,0.6158649010107371
E165 Centroid,facing_c0,Centroid,Physical Measurements,0.4732056246391456
E165 Centroid,facing_c2,Centroid,Physical Measurements,0.8556564373175318
E165 Centroid,facing_c3,Centroid,Physical Measurements,0.8513920900497869
E165 Centroid,facing_c4,Centroid,Physical Measurements,0.4755200640334256
E165 Centroid,Tip Opening,Centroid,Physical Measurements,0.9135632328159351
E165 Centroid,Facing Length,Centroid,Physical Measurements,0.9211112749420532
E165 Centroid,baffle_height_1,Centroid,Physical Measurements,0.9144339461976538
E165 Centroid,baffle_height_3,Centroid,Physical Measurements,0.9126125675219432
E165 Centroid,baffle_height_5,Centroid,Physical Measurements,0.9099451705915786
E165 Centroid,baffle_height_8,Centroid,Physical Measurements,0.9060106336145832
E165 Centroid,baffle_height_13,Centroid,Physical Measurements,0.9003677918861923
E165 Centroid,baffle_height_20,Centroid,Physical Measurements,0.8984236260695425
E165 Centroid,baffle_height_30,Centroid,Physical Measurements,0.9105314200689631
E165 Centroid,baffle_height_40,Centroid,Physical Measurements,0.918190076310315
E165 Centroid,baffle_height_50,Centroid,Physical Measurements,0.9207050275908312
E165 Centroid,baffle_height_60,Centroid,Physical Measurements,0.9258716765683841
E165 Centroid,baffle_height_70,Centroid,Physical Measurements,0.9255390810665021
E165 Centroid,bore_table_angle,Centroid,Physical Measurements,0.8990334178769117
E165 Centroid,baffle 3-1,Centroid,Physical Measurements,0.7327386703087411
E165 Centroid,baffle 8-3,Centroid,Physical Measurements,0.8087551632240831
E165 Centroid,baffle 13-8,Centroid,Physical Measurements,0.8234362620226842
